Datum;AT0010000000000000001000012258940 (1201736728) - Verbrauch [kWh]
11.04.23;6,892
12.04.23;6,286
13.04.23;6,725
14.04.23;11,798
15.04.23;15,517
16.04.23;11,806
17.04.23;8,654
18.04.23;5,038
19.04.23;9,23
20.04.23;6,908
21.04.23;7,999
22.04.23;3,92
23.04.23;2,074
24.04.23;4,917
25.04.23;2,345
26.04.23;5,118
27.04.23;6,811
28.04.23;9,509
29.04.23;5,089
30.04.23;5,073
01.05.23;6,715
02.05.23;4,053
03.05.23;6,598
04.05.23;3,075
05.05.23;1,854
06.05.23;7,961
07.05.23;8,726
08.05.23;4,523
09.05.23;5,406
10.05.23;2,703
11.05.23;3,965
12.05.23;2,744
13.05.23;1,433
14.05.23;3,136
15.05.23;3,897
16.05.23;4,5
17.05.23;3,317
18.05.23;18,111
19.05.23;9,157
20.05.23;7,744
21.05.23;7,871
22.05.23;5,393
23.05.23;3,566
24.05.23;4,214
25.05.23;2,39
26.05.23;3,788
27.05.23;2,98
28.05.23;6,248
29.05.23;4,372
30.05.23;4,638
31.05.23;5,028
01.06.23;5,723
02.06.23;3,822
03.06.23;2,021
04.06.23;2,307
05.06.23;3,297
06.06.23;4,794
07.06.23;4,642
08.06.23;3,956
09.06.23;5,215
10.06.23;5,423
11.06.23;5,066
12.06.23;4,841
13.06.23;2,909
14.06.23;4,185
15.06.23;3,714
16.06.23;4,502
17.06.23;5,502
18.06.23;6,607
19.06.23;5,751
20.06.23;3,754
21.06.23;2,587
22.06.23;3,587
23.06.23;2,776
24.06.23;2,361
25.06.23;4,153
26.06.23;5,389
27.06.23;3,836
28.06.23;3,912
29.06.23;2,632
30.06.23;3,482
01.07.23;2,327
02.07.23;2,224
03.07.23;6,171
04.07.23;3,808
05.07.23;3,41
06.07.23;3,774
07.07.23;4,828
08.07.23;5,523
09.07.23;4,224
10.07.23;4,908
11.07.23;4,937
12.07.23;6,277
13.07.23;3,169
14.07.23;0,88
15.07.23;0,905
16.07.23;1,389
17.07.23;1,435
18.07.23;0,953
19.07.23;1,383
20.07.23;1,409
21.07.23;0,941
22.07.23;1,408
23.07.23;1,327
24.07.23;0,979
25.07.23;1,341
26.07.23;1,273
27.07.23;1,213
28.07.23;2,693
29.07.23;4,419
30.07.23;1,144
31.07.23;5,085
01.08.23;8,077
02.08.23;6
03.08.23;5,571
04.08.23;3,725
